Designator,MidX,MidY,Rotation,Layer
C2,91.05,-36.5625,270,top
C3,108.3375,-40.7,0,top
C4,123.1,-37.8875,270,top
C5,95.9375,-53.875,0,top
C6,103.7375,-53.6,0,top
C7,70.4375,-68.5,0,top
C8,79.1375,-67.375,0,top
C9,90.05,-63.4625,270,top
C10,109.2175,-65.99,0,top
C11,115.75,-66.25,0,top
C12,124.25,-65.85,0,top
C13,130.9225,-68.64,0,top
C14,140.8725,-68.52,0,top
C15,151.4625,-68.71,0,top
C16,88.5625,-72.775,0,top
C17,95.2625,-72.775,0,top
C18,102.3125,-72.75,0,top
C19,91.7125,-80.025,0,top
C20,100.4875,-80.025,0,top
C21,107.75,-83.525,0,top
C22,112.8625,-91.67,0,top
C23,113.825,-101.0875,90,top
C24,110.5375,-107.2,0,top
C25,90.9625,-105.925,0,top
C26,84.3375,-107.5,0,top
C27,80.7625,-99.7,0,top
C28,77.2125,-91.375,0,top
C29,87.8125,-82.2,180,top
C30,151.44,-81.1375,270,top
C31,148.9925,-106.1,0,top
C32,77.55,-118.2375,90,top
C33,86.75,-118.2125,270,top
C34,96.7994,-117.9678,270,top
C35,109.8,-118.5375,270,top
C36,118.8339,-119.9516,90,top
C37,128.7018,-118.3742,270,top
C38,140.625,-117.4125,270,top
C39,147.2125,-120.15,0,top
C40,156.2625,-119.675,0,top
C41,76.3875,-126.2,0,top
C42,87.1875,-127.375,180,top
C43,94.9125,-125.425,180,top
C44,105.81136,-128.64084,0,top
C46,127.1875,-126.975,180,top
C47,141.6725,-126.6,0,top
C48,151.93,-127.4725,90,top
C49,155.2625,-126.75,0,top
C50,91.03,-143.55,0,top
C51,103.3,-140.2,0,top
C52,130.4125,-139.775,0,top
C53,80.1925,-151.09,0,top
C54,87.48,-151.09,0,top
C55,116.2925,-151.26,0,top
C56,119.80418,-158.10992,135,top
C57,144.8125,-150.975,0,top
C58,155,-148.1375,270,top
C59,165.8725,-25.79,0,top
C60,162.8925,-34.54,0,top
C61,162.8925,-45.65,0,top
C62,162.9425,-57.25,0,top
C63,162.8025,-68.61,0,top
C64,163.4825,-78.88,0,top
C65,163.73,-89.6,0,top
C66,163.8025,-101,0,top
C67,163.7875,-113.425,0,top
C68,163.9,-123.375,0,top
C69,165.0375,-134.9,180,top
C70,163.2375,-146.175,0,top
C71,180.5125,-150.025,0,top
C72,192.8625,-149.725,0,top
C73,219,-150.1648,0,top
C74,229.8875,-150.46,0,top
C75,179.6375,-126.8,0,top
C76,193.5625,-124.975,180,top
C77,218.30796,-127.09398,0,top
C78,229.0075,-127.16,0,top
C79,180.0625,-118.76,0,top
C80,197.2875,-116.875,180,top
C81,220.2225,-118.6,180,top
C82,230.3825,-118.62,0,top
C83,179.5,-94.95,0,top
C84,189.68,-96.1,0,top
C85,194.85,-95.1,0,top
C86,217.0925,-95.39,0,top
C87,228.98,-96.9,0,top
C88,232.3125,-95.66,0,top
C89,180.8325,-86.29,0,top
C90,192.2425,-86.68,0,top
C91,218.8075,-86.82,0,top
C92,231.1425,-87.51,0,top
C93,193.8275,-63.91,180,top
C94,193.26,-61.0175,270,top
C95,217.5,-63.8,0,top
C96,228.3625,-63.3,0,top
C97,171.9275,-52.34,0,top
C98,180.1775,-51.67,0,top
C99,193,-51.8,0,top
C100,199.7425,-53.49,0,top
C101,218.9325,-54.58,0,top
C102,230.7675,-54.8,0,top
C103,172.0125,-35.81,0,top
C104,180.0925,-32.48,0,top
C105,194.1875,-30.66,180,top
C106,224.14,-29.3375,270,top
C107,207.0225,-24.45,0,top
C108,122.22,-72.82,0,top
C109,168.55,-154.78,270,top
C110,75.9,-41.9375,90,top
D1,78.6776,-37.6176,0,top
D2,86.778,-37.5668,0,top
D3,110.146,-37.1092,0,top
D4,118.657,-37.0588,0,top
D5,94.324,-50.2664,0,top
D6,102.096,-49.9108,0,top
D7,68.7716,-64.7952,0,top
D8,77.4816,-63.7796,0,top
D9,85.508,-62.56,0,top
D10,107.594,-62.23,0,top
D11,114.82,-62.2552,0,top
D12,121.807,-62.3568,0,top
D13,129.247,-64.9984,0,top
D14,139.254,-64.9476,0,top
D15,149.809,-65.0748,0,top
D16,87.0088,-69.2148,0,top
D17,93.7768,-69.1388,0,top
D18,100.646,-69.164,0,top
D19,90.08,-76.3268,0,top
D20,98.8176,-76.4288,0,top
D21,106.133,-79.9336,0,top
D22,111.111,-88.0616,0,top
D23,111.365,-96.7484,0,top
D24,108.876,-103.606,0,top
D25,89.3064,-102.311,0,top
D26,82.6908,-103.911,0,top
D27,79.084,-96.0884,0,top
D28,75.5788,-87.706,0,top
D29,82.7024,-80.5688,0,top
D30,147.128,-80.34,0,top
D31,147.32,-102.464,0,top
D32,73.1912,-116.103,0,top
D33,82.5108,-117.424,0,top
D34,92.3936,-116.916,0,top
D35,105.32,-117.526,0,top
D36,114.667,-117.576,0,top
D37,124.398,-117.322,0,top
D38,135.941,-116.129,0,top
D39,145.53,-116.51,0,top
D40,154.624,-116.154,0,top
D41,74.7892,-122.606,0,top
D42,81.952,-124.892,0,top
D43,89.7752,-123.825,0,top
D44,107.575,-125.1,0,top
D45,114.667,-124.282,0,top
D46,121.932,-125.349,0,top
D47,140.067,-122.961,0,top
D48,146.925,-124.333,0,top
D49,153.529,-123.164,0,top
D50,94.4488,-136.576,0,top
D51,101.205,-136.525,0,top
D52,128.739,-136.118,0,top
D53,78.65,-147.396,0,top
D54,85.8636,-147.447,0,top
D55,114.656,-147.625,0,top
D56,114.656,-156.362,0,top
D57,143.166,-147.345,0,top
D58,150.532,-147.345,0,top
D59,164.276,-22.174,0,top
D60,161.228,-30.9116,0,top
D61,161.251,-42.0876,0,top
D62,161.278,-53.6192,0,top
D63,161.177,-64.9984,0,top
D64,161.837,-75.26,0,top
D65,161.86,-85.9284,0,top
D66,162.064,-97.4088,0,top
D67,162.091,-109.804,0,top
D68,162.244,-119.761,0,top
D69,161.786,-131.394,0,top
D70,161.634,-142.672,0,top
D71,178.878,-146.482,0,top
D72,191.2,-146.177,0,top
D73,217.057,-146.736,0,top
D74,229.503,-146.837,0,top
D75,181.571,-123.216,0,top
D76,188.429,-123.317,0,top
D77,219.812,-123.647,0,top
D78,227.432,-123.596,0,top
D79,178.398,-115.138,0,top
D80,192.114,-115.24,0,top
D81,216.967,-114.96,0,top
D82,228.752,-115.011,0,top
D83,178.906,-91.5668,0,top
D84,185.866,-91.618,0,top
D85,192.927,-91.6176,0,top
D86,215.482,-91.7704,0,top
D87,222.86,-91.8464,0,top
D88,230.265,-91.9224,0,top
D89,179.211,-82.728,0,top
D90,190.59,-83.1344,0,top
D91,217.131,-83.2868,0,top
D92,229.503,-83.8964,0,top
D93,181.649,-60.2236,0,top
D94,188.863,-60.1728,0,top
D95,219.952,-59.7664,0,top
D96,226.658,-59.7152,0,top
D97,170.344,-48.844,0,top
D98,178.523,-48.0312,0,top
D99,191.121,-48.336,0,top
D100,198.081,-49.9616,0,top
D101,217.283,-50.9776,0,top
D102,229.198,-51.232,0,top
D103,170.372,-32.2324,0,top
D104,181.852,-28.88,0,top
D105,189.066,-29.0324,0,top
D106,219.698,-28.5244,0,top
D107,205.373,-20.8024,0,top
D108,120.55,-69.2,0,top
D109,164.3,-153.75,0,top
R1,110.5625,-30.325,0,top
