Designator,MidX,MidY,Rotation,Layer
C1,153.392,-54.574,0,top
C2,160.387,-54.544,0,top
C3,153.502,-96.464,0,top
C4,160.528,-96.52,0,top
C5,131.051,-102.362,0,top
C6,139.687,-102.616,0,top
C7,126.479,-109.728,0,top
C8,136.665,-109.728,180,top
C9,145.301,-107.696,180,top
D1,151.742,-50.974,0,top
D2,158.702,-50.984,0,top
D3,151.822,-92.744,0,top
D4,158.872,-92.744,0,top
D5,129.312,-98.784,0,top
D6,138.43,-98.806,0,top
D7,125.64,-106.248,0,top
D8,132.932,-106.248,0,top
D9,139.962,-106.164,0,top
R1,154.178,-115.57,90,top
